"sa2_name","state","count"
"Dulwich Hill - Lewisham","New South Wales",26
"St Marys - North St Marys","New South Wales",26
"Gledswood Hills - Gregory Hills","New South Wales",26
"Armadale","Victoria",26
"Richmond (South) - Cremorne","Victoria",26
"Niddrie - Essendon West","Victoria",26
"Lysterfield","Victoria",26
"Keysborough - South","Victoria",26
"Truganina - South East","Victoria",26
"Carrum Downs","Victoria",26
"Eight Mile Plains","Queensland",26
"Mansfield (Qld)","Queensland",26
"Sherwood","Queensland",26
"Davoren Park","South Australia",26
"Padbury","Western Australia",26
"Harrisdale","Western Australia",26
"Hamilton Hill","Western Australia",26
"Bull Creek","Western Australia",26
"Lenah Valley - Mount Stuart","Tasmania",26
"Acacia Gardens","New South Wales",25
"Darlinghurst","New South Wales",25
"Bondi - Tamarama - Bronte","New South Wales",25
"Malabar - La Perouse","New South Wales",25
"Canterbury (North) - Ashbury","New South Wales",25
"Whittlesea","Victoria",25
"Fawkner","Victoria",25
"Lilydale - Coldstream","Victoria",25
"Clyde North - North","Victoria",25
"Taylors Lakes","Victoria",25
"Frankston","Victoria",25
"Frankston North","Victoria",25
"Tingalpa","Queensland",25
"Wavell Heights","Queensland",25
"Zillmere","Queensland",25
"Yeronga","Queensland",25
"Boronia Heights - Park Ridge","Queensland",25
"Chambers Flat - Logan Reserve","Queensland",25
"Cashmere","Queensland",25
"The Hills District","Queensland",25
"Coomera","Queensland",25
"Oxenford - Maudsland","Queensland",25
"Blackwood","South Australia",25
"Reynella","South Australia",25
"Swanbourne - Mount Claremont","Western Australia",25
"North Perth","Western Australia",25
"Lockridge - Kiara","Western Australia",25
"Wyoming","New South Wales",24
"Punchbowl","New South Wales",24
"Kogarah","New South Wales",24
"Strathfield - West","New South Wales",24
"North Narrabeen - Warriewood (South)","New South Wales",24
"Mount Annan","New South Wales",24
"Cambridge Park","New South Wales",24
"Oyster Bay - Como - Jannali","New South Wales",24
"Glendale - Cardiff - Hillsborough","New South Wales",24
"South Yarra - West","Victoria",24
"Carnegie","Victoria",24
"Ormond - Glen Huntly","Victoria",24
"Moorabbin - Heatherton","Victoria",24
"Clayton South","Victoria",24
"Wyndham Vale - South","Victoria",24
"No usual address (Vic.)","Victoria",24
"Mitchelton","Queensland",24
"Bardon","Queensland",24
"Redbank Plains","Queensland",24
