SERIALNO,POBP,ANC1P,ANC2P,RAC1P,HISP,SEX,AGEP,PWGTP,POBP_SP,ANC1P_SP,ANC2P_SP,RAC1P_SP,HISP_SP,RELSHIPP_SP,gen,gender,partnership_type,age_group,spouse_iran,spouse_mena,spouse_white,spouse_hsp,spouse,PERWT,AGE,BPL,ANCESTR1,ANCESTR2,RACE,HISPAN,BPL_SP,ANCESTR1_SP,ANCESTR2_SP,RACE_SP,HISPAN_SP
2023HU1258114,48,416,999,1,1,1,40,12,40,32,999,1,1,21,2nd gen,Male,Married,40-49,No,No,Yes,No,Other White,12,40,48,416,999,1,1,40,32,999,1,1
2023HU1318076,212,416,999,9,1,2,55,11,212,416,999,9,1,21,1st gen,Female,Married,50-59,Yes,Yes,No,No,Iranian,11,55,212,416,999,9,1,212,416,999,9,1
2023HU1331614,15,32,416,1,1,2,34,11,4,22,50,1,1,21,2nd gen,Female,Married,30-39,No,No,Yes,No,Other White,11,34,15,32,416,1,1,4,22,50,1,1
2023HU1335656,210,416,999,9,1,2,73,11,210,416,999,9,1,21,2nd gen,Female,Married,70-79,Yes,Yes,No,No,Iranian,11,73,210,416,999,9,1,210,416,999,9,1
2023HU1341508,36,51,416,1,1,2,60,7,6,22,20,1,1,21,2nd gen,Female,Married,60-69,No,No,Yes,No,Other White,7,60,36,51,416,1,1,6,22,20,1,1
2023HU1354902,6,416,50,1,1,1,60,10,6,20,32,1,1,21,2nd gen,Male,Married,60-69,No,No,Yes,No,Other White,10,60,6,416,50,1,1,6,20,32,1,1
2023HU1410950,212,416,999,1,1,1,40,8,212,416,999,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,8,40,212,416,999,1,1,212,416,999,1,1
2024HU0038196,212,416,999,1,1,1,69,18,4,50,999,1,1,21,1st gen,Male,Married,60-69,No,No,Yes,No,Other White,18,69,212,416,999,1,1,4,50,999,1,1
2024HU0066973,212,924,999,1,1,1,83,29,212,924,999,1,1,21,1st gen,Male,Married,80-89,Yes,No,Yes,No,Iranian,29,83,212,924,999,1,1,212,924,999,1,1
2024HU0067898,212,416,999,1,1,1,65,16,17,939,999,1,1,21,1st gen,Male,Married,60-69,No,No,Yes,No,Other White,16,65,212,416,999,1,1,17,939,999,1,1
2024HU0109000,212,416,999,1,1,1,53,11,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,11,53,212,416,999,1,1,212,416,999,1,1
2024HU0116021,212,416,999,1,1,1,50,29,6,425,431,1,1,21,1st gen,Male,Married,50-59,No,Yes,Yes,No,Other MENA,29,50,212,416,999,1,1,6,425,431,1,1
2024HU0126677,212,416,999,1,1,2,43,48,4,924,999,1,1,22,1st gen,Female,Unmarried partner,40-49,No,No,Yes,No,Other White,48,43,212,416,999,1,1,4,924,999,1,1
2024HU0163877,212,490,924,1,1,1,41,28,212,490,924,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,28,41,212,490,924,1,1,212,490,924,1,1
2024HU0206384,36,416,32,1,1,1,54,11,36,32,999,1,1,21,2nd gen,Male,Married,50-59,No,No,Yes,No,Other White,11,54,36,416,32,1,1,36,32,999,1,1
2024HU0215738,212,795,999,1,1,1,30,29,212,416,999,1,1,21,1st gen,Male,Married,30-39,Yes,Yes,Yes,No,Iranian,29,30,212,795,999,1,1,212,416,999,1,1
2024HU0273423,212,416,999,1,1,1,43,9,212,416,999,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,9,43,212,416,999,1,1,212,416,999,1,1
2024HU0296099,212,416,999,1,1,1,79,20,53,87,32,1,1,21,1st gen,Male,Married,70-79,No,No,Yes,No,Other White,20,79,212,416,999,1,1,53,87,32,1,1
