YEAR,SERIAL,HHWT,STATEFIP,HHINCOME,PERWT,SEX,AGE,BPL,ANCESTR1,ANCESTR2,CITIZEN,YRIMMIG,SCHL,EMPSTAT,CLASSWKR,OCC,WKHP,INCTOT,INCWAGE,POVERTY,REGION,PUMA,educ_factor,age,gender,bpl,gen,class_wkrd,emp_stat,CITIZEN2,born_in_iran,any_iranian_anc,generation,is_child_of_iranian
2024,2024HU1167820,6,1,91800,5,1,21,1,939,999,1,1937,18,6,1,4220,12,600,600,234,3,02500,Some college,21,Male,1,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU1167820,6,1,91800,11,2,18,1,939,999,1,1937,16,6,1,4110,8,1200,1200,234,3,02500,High school degree,18,Female,1,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU1236547,19,1,49400,19,2,79,212,416,999,4,1984,16,1,2,3515,30,49400,34700,330,3,00403,High school degree,79,Female,212,1st gen,Non-profit employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU1249298,25,1,161000,25,1,42,212,416,999,5,2013,24,1,2,1760,40,71000,71000,501,3,01403,Graduate degree,42,Male,212,1st gen,Non-profit employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU1249298,25,1,161000,26,2,37,212,416,999,5,2014,24,1,4,1760,40,90000,90000,501,3,01403,Graduate degree,37,Female,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU1422260,29,1,170000,27,1,39,1,416,999,1,1937,21,1,1,0110,40,125000,125000,501,3,00401,Bachelors degree,39,Male,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU1422260,29,1,170000,26,2,5,1,924,999,1,1937,2,0,0,N,0,-19999,-1,501,3,00401,Less than high school,5,Female,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU1422260,29,1,170000,38,2,3,1,924,999,1,1937,2,0,0,N,0,-19999,-1,501,3,00401,Less than high school,3,Female,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2021,2021HU1193577,23,1,85000,23,2,34,1,924,416,1,1937,22,6,1,5240,0,0,0,404,3,01404,Graduate degree,34,Female,1,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU1193577,23,1,85000,31,1,2,1,924,999,1,1937,0,0,0,N,0,-19999,-1,404,3,01404,No schooling or N/A,2,Male,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2021,2021HU1274843,27,1,126200,27,1,36,17,416,195,1,1937,22,1,5,0440,40,126200,118000,501,3,00403,Graduate degree,36,Male,17,2nd gen,Public sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU1307472,7,1,135100,5,2,51,13,416,22,1,1937,22,1,3,2320,40,47100,47100,501,3,01700,Graduate degree,51,Female,13,2nd gen,Public sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2022,2022HU0091287,17,1,541000,21,1,24,1,416,999,1,1937,22,1,1,1021,40,1000,1000,501,3,00403,Graduate degree,24,Male,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2022,2022HU0131135,14,1,24000,13,1,37,212,997,999,5,2016,22,1,4,2205,25,24000,24000,169,3,01202,Graduate degree,37,Male,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,FALSE,First generation,FALSE
2022,2022HU0366988,15,1,130000,14,1,52,212,999,999,3,1970,16,1,1,8990,55,60000,60000,369,3,02201,High school degree,52,Male,212,1st gen,Private sector employee,Employed,US-born,TRUE,FALSE,First generation,FALSE
2022,2022HU0366988,15,1,130000,15,2,22,1,999,999,1,1937,21,6,0,N,0,0,0,369,3,02201,Bachelors degree,22,Female,1,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2022,2022HU0366988,15,1,130000,29,2,17,1,999,999,1,1937,13,6,0,N,0,0,0,369,3,02201,Some high school,17,Female,1,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2022,2022HU0366988,15,1,130000,15,1,15,1,999,999,1,1937,12,0,0,N,0,0,0,369,3,02201,Some high school,15,Male,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2022,2022HU0394181,4,1,37600,4,1,58,212,416,999,4,1986,19,1,1,7905,40,25500,11100,197,3,02300,Some college,58,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2022,2022HU0489755,13,1,29800,12,1,55,212,490,999,4,1998,22,1,2,2555,30,29800,29800,201,3,02803,Graduate degree,55,Male,212,1st gen,Non-profit employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2022,2022HU0540655,15,1,18000,16,2,31,212,168,999,5,2018,22,1,4,2205,40,18000,18000,124,3,01202,Graduate degree,31,Female,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,FALSE,First generation,FALSE
2022,2022HU0604933,72,1,279590,72,1,54,212,939,999,3,1971,21,1,1,1007,55,250190,250000,501,3,01201,Bachelors degree,54,Male,212,1st gen,Private sector employee,Employed,US-born,TRUE,FALSE,First generation,FALSE
2022,2022HU0604933,72,1,279590,55,1,27,27,939,999,1,1937,21,6,1,1108,40,29400,29400,501,3,01201,Bachelors degree,27,Male,27,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2022,2022HU0609949,20,1,43000,20,2,25,212,999,999,3,1998,20,1,7,5240,30,13000,13000,91,3,01202,Some college,25,Female,212,1st gen,Self-employed,Employed,US-born,TRUE,FALSE,First generation,FALSE
2022,2022HU0654894,29,1,130000,31,2,47,1,416,999,1,1937,21,1,6,2205,80,30000,0,501,3,01501,Bachelors degree,47,Female,1,2nd gen,Self-employed,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2022,2022HU0666705,35,1,10000,35,1,52,212,416,999,4,1978,17,1,1,4110,35,10000,10000,52,3,02702,High school degree,52,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2022,2022HU0666705,35,1,10000,34,2,54,212,416,999,5,2017,21,6,1,4130,0,0,0,52,3,02702,Bachelors degree,54,Female,212,1st gen,Private sector employee,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2022,2022HU0714552,31,1,65000,31,2,41,1,416,999,1,1937,21,1,7,2310,45,65000,65000,431,3,01401,Bachelors degree,41,Female,1,2nd gen,Self-employed,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2022,2022HU0736880,13,1,150000,12,1,33,12,22,416,1,1937,21,1,1,0020,80,150000,150000,501,3,02701,Bachelors degree,33,Male,12,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
